City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
148,Faanui,PF,2021-04-25 18:33:48,-16.4833,-151.75,80.85,66,8,4.68,clear sky
149,Castro,BR,2021-04-25 18:35:47,-24.7911,-50.0119,67.37,72,100,8.03,overcast clouds
150,Guaratinga,BR,2021-04-25 18:36:18,-16.5667,-39.5667,82.4,69,20,14.97,few clouds
151,Saint-Pierre,RE,2021-04-25 18:38:10,-21.3393,55.4781,78.8,73,20,19.57,few clouds
152,Yeppoon,AU,2021-04-25 18:38:10,-23.1333,150.7333,64.4,77,36,6.91,scattered clouds
153,Brezno,SK,2021-04-25 18:38:10,48.8043,19.6363,35.6,64,20,4.61,few clouds
154,Tazovskiy,RU,2021-04-25 18:34:11,67.4667,78.7,7.9,95,25,8.3,scattered clouds
155,Port Lincoln,AU,2021-04-25 18:34:07,-34.7333,135.8667,59.32,80,8,7.85,clear sky
156,Keroka,KE,2021-04-25 18:38:11,-0.7758,34.9453,55.74,97,100,2.15,overcast clouds
157,Shizunai,JP,2021-04-25 18:38:12,42.3339,142.3669,34.54,84,57,4.09,broken clouds
158,Miracema Do Tocantins,BR,2021-04-25 18:38:12,-9.5618,-48.3967,81.32,83,95,2.59,light rain
159,Finschhafen,PG,2021-04-25 18:38:13,-6.6024,147.8681,78.87,81,100,5.46,moderate rain
160,Cedral,MX,2021-04-25 18:38:13,23.8,-100.7333,83.86,21,10,13.4,clear sky
161,Henties Bay,NA,2021-04-25 18:34:08,-22.116,14.2845,63.0,89,41,4.0,scattered clouds
162,Morant Bay,JM,2021-04-25 18:38:14,17.8815,-76.4093,84.2,70,40,18.41,scattered clouds
163,Beringovskiy,RU,2021-04-25 18:38:01,63.05,179.3167,30.6,87,100,1.92,overcast clouds
164,Duku,NG,2021-04-25 18:38:14,11.2361,4.9073,94.1,32,95,4.36,overcast clouds
165,Ancud,CL,2021-04-25 18:33:44,-41.8697,-73.8203,63.0,94,75,3.44,broken clouds
166,Zhigansk,RU,2021-04-25 18:35:51,66.7697,123.3711,32.59,99,100,8.81,light snow
167,Yumen,CN,2021-04-25 18:34:54,40.2833,97.2,39.22,14,100,13.44,overcast clouds
168,Kutum,SD,2021-04-25 18:38:15,14.2,24.6667,81.97,14,29,8.01,scattered clouds
169,Coihaique,CL,2021-04-25 18:38:16,-45.5752,-72.0662,59.0,47,40,9.22,scattered clouds
170,Kupang,ID,2021-04-25 18:38:16,-10.1667,123.5833,74.03,74,60,8.08,broken clouds
171,Angoche,MZ,2021-04-25 18:38:16,-16.2325,39.9086,76.64,85,85,4.92,overcast clouds
172,Manaure,CO,2021-04-25 18:38:17,11.7751,-72.4445,89.38,52,34,16.58,scattered clouds
